sentiment,text,label
negative,@greggrunberg hey you said matt was gonna go all ballistic... i was disappointed  good ep tho mostly,positive
negative,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",neutral
negative,@heidimontag I wish we would get it the same time at the rest of world. unfornately I am in Cairo and have to wait for mtva to play it ,neutral
negative,[-O] I wish the frogs weren't becoming extinct    http://tinyurl.com/cxe8w7,neutral
negative,"Debating if I should just shower now, so I can sleep a little later tomorrow ",neutral
negative,bad day at the betfair office ,negative
negative,"@LevenRambin: Take it easy, and be good to you. ",positive
negative,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,neutral
negative,@josephheustess ...well there was this really cool part where... i wont spoil it ,neutral
negative,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ,neutral
negative,I'm so upset that I missed my chat and quiz online because my free internet has ceased ,neutral
negative,What tragedy and disaster in the news this week ,neutral
negative,"@M4RKM  You stuck in traffic then? My journey was traffic free this morning, if it's any help.",neutral
negative,omg exams killed me  how could i not know the difference between haif a circle and a hemisphere &lt;/3 &gt;,neutral
negative,It's so cruel having to wait for reviews to come in.  So far it looks like Star Trek will be the best film of the year!,neutral
negative,@cleders sorry...i was rooting for them too... ,neutral
negative,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! ",neutral
negative,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",negative
negative,"@Appomattox_News Thank you! However, I hate to be on the same list that includes 2 convicts.  ",negative
negative,@bengottlieb Great idea with the iTunes promo codes - they don't work in the UK iTunes store though ,positive
negative,My Pookie has a UTI.  I have to be Nurse Gabbie and get him back to 100%!!! No more sodas!!!!!!!!!!!!!!,neutral
negative,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",neutral
negative,Man Work is Hard ,neutral
negative,Oh no my computer sucks. I don't think i'll be able to listen to the Xbox 360 Fancast tonite ,neutral
negative,Uh oh... I think I am getting sick ,neutral
negative,I wanna sneak into the zoo and play with the kitties ,neutral
negative,yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to ,neutral
negative,Back to work. I get to spend the next 8 hours alone in the dispatch room ,neutral
negative,Greaaat my lappy won't turn on  wtffffff,neutral
negative,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.,neutral
negative,@paul_e_wog Wait...is it a game or just episodes? I'm so confused. ,neutral
negative,@MajesticFlame ouch - sounds very sucky ,neutral
negative,@JonathanRKnight Good Knight hun! Looking forward to ur tweets again! Hate that i keep missing out on the fun cuz of the time difference ,positive
negative,Im in the mood for some chocolate. I want..... Miniature Reeses cups. Now ,neutral
negative,@HumanOpium pretty much just scary for me ,neutral
negative,doesn't enjoy learning CSS. ,neutral
negative,"@daNanner aw, sorry to hear that. ",neutral
negative,"Dammit, episode 3 of Kings won't play for some reason  stopped in the middle now won't do anything",neutral
negative,@KevChoice I just don't get it. What in a persons mind could even have them on some ish like this???  My prayers are with her fam for real,neutral
negative,yes yes still trying to find a picture that will upload correclty.. ,neutral
negative,New Testament Test at 9:30 am   ,neutral
negative,North carolina baby!! Aint nothin stopping them but the nba draft ,neutral
negative,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,neutral
negative,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,positive
negative,Going to sleep. Hoping tomorrow is a better day. ,neutral
negative,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,neutral
negative,"This earthquake in italy has me sadden.  it's only three hours away from naples, where my family is ",negative
negative,@stephenkruiser i so sorry for your loss. my brother dog sam is sick w/cushings disease. ,neutral
negative,Just lost $160 ,neutral
negative,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...,neutral
negative,"Our sweet little man just fell asleep while waiting up for daddy and big brother to get home!  Poor baby, he missed them so much today!",neutral
negative,"@tim_grainger nah, I haven't received my stimulus yet ",neutral
negative,almost bedtime ,neutral
negative,@enterbelladonna i dunno how to use the forum and i get frustrated with it. i'll miss talking to you on here. ,neutral
negative,playing game at home! my new boss didn't call me yet... ,neutral
negative,@Torturedlady yea  ma'naaaaaaaaaaaaaaaaaaaam (marwan accent) lol,neutral
negative,"i should be sleeping, i have a stressed out week coming to me. ",neutral
negative,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",neutral
negative,Michigan who?  I don't know them.                   *sigh*   Shameful!,neutral
negative,@thestar_rage I want one too    is the branch in MidV open too?,neutral
negative,@hert Jesus Camp? Yeah... ,neutral
negative,@chauncey78 hey did u talk to mom.. r they home yet? i hope they r ok.. wish i was coming home 4 easter.. ,neutral
negative,"Good morning! Ready 2 go, but I want 2 go back 2 bed ",positive
negative,@margaretcho what happened to your show it was the hightlight of my life ,neutral
negative,"@ellievolia If oooonly we were really so lucky, eh? And awh  Definitely too early for work.",neutral
negative,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,neutral
negative,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,neutral
negative,@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!,neutral
negative,@SupaMagg that happened to me saturday night. along with my glittery green lighter! ,neutral
negative,"@ewarden, you may have to email this one to me  I hope you feel better.",neutral
negative,is craving for some tantan nabe  http://plurk.com/p/mzxcs,neutral
negative,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,neutral
negative,@BillyBush she admitted to being a fake  ,neutral
negative,Check out my mug  http://www.erika-obscura.blogspot.com,neutral
negative,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),neutral
negative,oh I thought the pirate bay trial verdict was today :-s apparently it's in 10 days ,neutral
negative,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",neutral
negative,I'm afraid I had bad code. ,negative
negative,Hoping the tummy rumbles go away soon ,neutral
negative,@jokerrrr It stillllll hasn't arrived ,neutral
negative,"@treesahquiche okay, about the applepears, I've talked to a few people and they've ALL had them before. No one ever told me, never ",neutral
negative,I wish I was better at writing. It's taking me so long to write this paper. ,neutral
negative,laid around too much today... now my head hurts ,neutral
negative,gotta do my cooking assignment  its too hard,neutral
negative,Evicted ,neutral
negative,Agh...snow!!! ,neutral
negative,can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!! ,neutral
negative,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,neutral
negative,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,neutral
negative,are you vaccinated against chicken-pox?should I vaccinate my 3 yr old?I am SO confused about this damn thing ,neutral
negative,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",positive
negative,RIP Sandra....its so sad    how can someone do something like that??,negative
negative,"@MonaSmith sadly, yes. i think i need counciling now ",negative
negative,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,negative
negative,@georgeruiz Unfortunately one of those moments wasn't a giant squid monster. ,neutral
negative,sadly is going to bed. ,negative
negative,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,positive
negative,Need a hug ,neutral
negative,UpdatingFFE.  That gives me nothing to do for a good twenty minutes!,positive
negative,This is the best leather sofa in the world!  It's in the office though which means I'm still here working ,neutral
negative,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",neutral
negative,"@Sephystryx I've been looking about for good stuff to write, but also been doing loads of uni work ",positive
negative,What? Apparently it's 52 degress at 11pm in Washington State. I miss winter already ,neutral
negative,"im lonely  keep me company! 22 female, california",neutral
negative,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,neutral
negative,I hate when software update downloads updates without telling me. I never know what's downloading when it is ,negative
negative,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,neutral
negative,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,neutral
negative,@hellivina @IHOPness g'knight lovely ladies. i'm sleepy now ,positive
negative,@Anistorm Sorry ,neutral
negative,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",neutral
negative,omg... &quot;The Reader&quot; is making me ,neutral
negative,@ school  at least last day!!!!!!,neutral
negative,is watching the hill . . .and its making me sad ,negative
negative,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,neutral
negative,"Just finished a delicious breakfast, my last in Paris  I'll miss milk, europe has the tastiest milk in the world, I don't drink it in US.",neutral
negative,@Henkuyinepu it's overrated ,neutral
negative,"Came home from Cross County, Tired as ",neutral
negative,@oanhLove I hate when that happens... ,positive
negative,buttload of homework! ,neutral
negative,Watching Who Framed Roger Rabbit. Makes me miss Toon Town. ,neutral
negative,blegghhhh i have to go to work ,neutral
negative,@sniffinglue ohhh. I love it. ps I'm sad we didn't get to hang out ,positive
negative,blagh class at 8 tomorrow ,neutral
negative,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! ,neutral
negative,"@KelleyRowe hey, you remember that time we used to be friends?? ;)  ugh. vomit. sick.  i need sleep ",neutral
negative,@ilovepie mines too... I'm finding it well hard to get fit... ,positive
negative,"@hannahsix cream for his eye and he may have herpes - not ocular herpes, but a different strain.    He's doing okay though.",neutral
negative,@Devinthedude007 actually the whole site has finally been taken over by those damn russians ,neutral
negative,Almost through with my Italian homework!  Weeeeee.... now if I only understood what I was doing.  ,neutral
negative,just got home from watching Michigan State get tromped!   ,neutral
negative,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",neutral
negative,I don't like the previously on skins thing that starts at season two. I like it when it went straight into the intro like before ,neutral
negative, i think @JonathanRKnight lost the net ? sure hope not,neutral
negative,"@skylineking722 connor, it's me, febi  are you really really mad at me??",neutral
negative,@andreabakes Oh gee - insomnia sucks   Have you tried melatonin?,neutral
negative,i have to take my sidekick back. ,neutral
negative,has a mild left inner ear infection.. and its got this irritating &quot;blocked&quot; feeling since sunday.. ,neutral
negative,@NKDreamer did you see Donnie's tweet stats? almost 700 @ replies...and no JRK ,neutral
negative,@David_Henrie i cant find it! it says dtmafiaofficial doesnt exist!there's jus 1 dtmafia i found n u dun seem to b followin it  wht to do?,neutral
negative,aaaaand back to my literature review  At least i have a friendly cup of coffee to keep me company.,neutral
negative,Such a tough game to watch tonight for State  Finally going to bed after also staying up to watch the season premiere of the Hills!,neutral
negative,@Sofii_Noel thatï¿½s bad ,negative
negative,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,positive
negative,cant sleep but im still feelin like a piece of shit ,neutral
negative,@lolitariot oh no  hope you're not getting sick too!,neutral
negative,Tumblr: This is exactly how it feels wearing a ï¿½tieï¿½  http://tinyurl.com/c8bvqh,neutral
negative,Is stressing out because my blackberry keeps flashing a red alert status for no reason!! Its faking me out and I hate it!!! ,negative
negative, wonder if Jon lost the net,neutral
negative,@markhardy1974 Me too  #itm,neutral
negative,just leaving the parking lot of work! ,neutral
negative,listening to Murd and 9th wonder- just chillen out missing my crazy sex life  ,neutral
negative,@mathewsmichael  i agree... the jobros dont update theres very often ,neutral
negative,@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,neutral
negative,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,neutral
negative,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! ,neutral
negative,@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!,positive
negative,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",neutral
negative,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,neutral
negative,Borders closed at 10 ,neutral
negative,Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,neutral
negative,homework homework homework ,neutral
negative,"Maybe one of these years I'll get a tax return.  A girl can dream, right?",neutral
negative,@imaginarypeach now your leaving me  .... -gets sad-,negative
negative,Struggling hard with Inventory ,neutral
negative,@SimoneKali Get me an autograph and shout out! You have to record it though. My computer is dead so I can't listen. ,neutral
negative,@PaulColes  hmmm...greed is good when it motivates the individual to do better-not so much when it takes away from others ,positive
negative,At work ,neutral
negative,@nachojohnny Brian don't make me fuck u up LOL I replied 2 ur message...did u get my # ? I miss u ,neutral
negative,Lost my free copy of radioactive so can't put it on my ipod grr!And i can't go out + buy 'nother coz it came with that paper ,neutral
negative,@ColinDeMar Far too out of the way for rail.  any other tips?,neutral
negative,@heidimontag just got done watching the hills! loved it! excited for the next episode! and im sad this is the last season! ,positive
negative,Morning! Bah Car won't start.. waiting for the ANWB.... ,neutral
negative,@LizChavez I can't set my feet on the ground. The missing eyelid people might get me!  ,neutral
negative,"@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. ",neutral
negative,Sitting here wondering why &quot;ED&quot; still has such a strong hold on me ,neutral
negative,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",negative
negative,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,neutral
negative,doing make up shit ,neutral
negative,Sad about Kutner being killed off my fav show House! ,negative
negative,Wondering why gamebattles is down ,neutral
negative,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",neutral
negative,Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..,neutral
negative,Why won't you show my location?!   http://twitpic.com/2y2es,neutral
negative,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",neutral
negative,"I had a horrible nightmare last night which affected my sleep, now I'm really tired ",neutral
negative,"l want, but I can't sleep ",neutral
negative,Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,neutral
negative,@kpreyes Remember my bum leg? Strikes back this time its serious ,neutral
negative,@salancaster  hope your ok.,neutral
negative,ITS NOT ENOUGH TO SAY THAT IMISS U ,neutral
negative,"@emmaketurah  i'm sorry Emma, is swarley a goldfish? i'm sad for u.",negative
negative,is tireddddddd. want to sleep but i have an assignment to finish and an exam tomorrow to study for ,neutral
negative,"@robcthegeek Once upon a time Hundred Islands was the pride of Philippine tourism, but coral/clam/rare fish poaching did it in. Kinda sad ",negative
negative,Poor cameron (the hills) ,neutral
negative,@celesteclara i can't sleep either ,neutral
negative,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",neutral
negative,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. ,neutral
negative,"Home! I really wana sleep, but due to wasting my free line in town I have an assignment to finish ",neutral
negative,"Need some help?! Want to buy a Macbook pro, but still inlove with my old powerbook! ",positive
negative,Yawn yawn yawn!! 10 more minutes in bed ,neutral
negative,@danielledeleasa http://twitpic.com/2y1pe - I hate 2 B allergic  i want a puppy soo bad that i've already thought some cool names,negative
negative,Not feeling well and back hurts ,neutral
negative,finding it really hard to use twitter ,neutral
negative,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",neutral
negative,I just re-pierced my ears ,neutral
negative,@Steve_Buscemi the weather in Canada is freezing ,neutral
negative,hates waiting for mails ,negative
negative,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,negative
negative,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",negative
negative,@thecoolestout Ha the sun's already gone ,neutral
negative,Going to school soon... can't find anything to wear!! gosh it's so hard ,neutral
negative,@jyesmith That's a lot of angst for a Tuesday afternoon ,neutral
negative,played another hand very bad and lost half my stack ,negative
negative,Boredd. Colddd  Internet keeps stuffing up,neutral
negative,I'm up way to late to be working for a client 12:10 AM  #fb,neutral
negative, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,neutral
negative,@mamasvan lol - nope! but i did have complete #camerafail ,neutral
negative,"Today I realized I am too good at hiding things, even I can't find it ",positive
negative,running nose + spinning head = not a good combination for a meeting! ,positive
negative,"@KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???",neutral
negative,work again ,neutral
negative,"worked his heart out today, doubling my weight at each station. Result: Stiff and pulled muscles... OUCH! ",neutral
negative,@FollowSavvy I never found her. everytime I click on her twitter thing through your myspace..... it goes to some dude's page ,neutral
negative,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,neutral
negative,"@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! ",neutral
negative,i feel unloved. dropped 2 tweeters ,positive
negative,went to ihop again. Great for a diet   At least there were no kung foo pancakes this time. -Rachel-,positive
negative,@alexbigman you left without saying hi! ,neutral
negative,"augh, eff sarth  i stole some of MIL's nail polish, its pretty! =o",neutral
negative,Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ,neutral
negative,"Can't believe Cutner is dead on House! Sad day.  in Santa Rosa, CA http://loopt.us/ORPL3A",negative
negative,I'm off too bed. I gotta wake up hella early tomorrow morning. ,neutral
negative,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,negative
negative,Fell asleep . . . Really didn't mean too  *christina*,neutral
negative,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs,neutral
negative,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,neutral
negative,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!",neutral
negative,Back at work  @ John Muir Dr http://loopt.us/KoqAbg,neutral
negative,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",positive
negative,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",neutral
negative,i can't concentrate ,neutral
negative,@angry_barista I baked you a cake but I ated it ,negative
negative,last one!!! but still not done!!! ,neutral
negative,@ryanmwilson aww that stinks!  *hugs*,neutral
negative,it's going to be nice again tomorrow and then the rain comes back. no nice weather for my birthday ,neutral
negative,"@griffmiester no exchanging for me, my laptop hasn't arrived ",neutral
negative,"I'm SO behind in video games, and everything for that matter. I'm yesterday's news ",neutral
negative,@ginayates Sorry to hear about Maggie.    Thoughts to your mum.,neutral
negative,I am worried that I won't get my $900 even though I paid a buttload of tax last year ! ,neutral
negative,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",neutral
negative,@dragoneer Yea   I am working tp hack my server to do the 12player thing for folks,neutral
negative,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",neutral
negative,Poor Sandra Cantu &amp; the Cantu family! My prayers go out to them! What a sick world we live in. She was only 8 ,neutral
negative,@katortiz  Not forever... See you soon!,neutral
negative,"has Finland sleeping for the night, not really enough time ",neutral
negative,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,neutral
negative,struggling with eam law ,neutral
negative,http://twitpic.com/2y34e - I wanna wear my Doc Martens out! Haven't worn them since December. ,neutral
negative,Living not downtown sure isn't much fun.  ,neutral
negative,No picnic  my phone smells like citrus.,neutral
negative,"I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks.",neutral
negative,Nasty budget due and my iphone is being sent to Apple today. ,neutral
negative,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,positive
negative,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,neutral
negative,is in the bathroom... wake up lakin. ,neutral
negative,trust is hard ,neutral
negative,ugh. cant sleep. its 1:30am. ,neutral
negative,Keeeerrrrriiiiii!!!!  I really have nothing better to do then post on this thing at 224am.....wonderfullll. Says alot.,neutral
negative,@pratama Same iMac came out $320 more in Indonesia than the States. ,neutral
negative,Fed bokkie too many birthday treats-sicko ,neutral
negative,is grouchy. and wants bmar ,neutral
negative,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",neutral
negative,@HibaNick yeah aw but i know i wudnt stand a chance ,neutral
negative,"&quot;On popular music&quot; by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue ",neutral
negative,"@d_castillo ugh, that's disconcerting ",neutral
negative,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",negative
negative,@beachbassbone: roomie was home all day. All he had to do was scratch at the door. Comforter has to goto large laundromat machines. ,neutral
negative,"Off to London for the day on Thursday, it's gonna be raining, oh fab  won't see much on the London Eye! Still Robbie won't care bless him",neutral
negative,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock ,neutral
negative,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,negative
negative,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",neutral
negative,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry ",neutral
negative,didn't get shit done today ~ i'm so screwed ,neutral
negative,"@kisluvkis oh that is very sad, poor boy. ",negative
negative,"Okay, so.. STILL NO SCHOOL!!!! ",neutral
negative,Still doing my homework!!! ,neutral
negative,"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",negative
negative,"@akianz renting.. but very cheap renting, and awesome house. We had 3 buying attempts fall through ",neutral
negative,"Balamurugan, a longterm member of the team is leaving this month. We'll miss working with him  hope he does well in his next venture",neutral
negative,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,negative
negative,@hyperbets i hope this doesn't last too long.  i feel miserable!,neutral
negative,@smokey_robinson  you fell off my list...did I offend you?  ,neutral
negative,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,neutral
negative,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",negative
negative,@shortiethug how come ur background covers the screen but mine is in the corner? ,neutral
